,precip_total_sum_mm,temp_mean_c,temp_max_c,temp_min_c
2024-07-30,0.0,29.070833333333336,34.6,24.3
2024-07-31,7.8,28.275000000000002,33.4,25.0
2024-08-01,0.8,26.9875,33.9,24.0
2024-08-02,0.0,27.920833333333334,33.2,23.5
2024-08-03,0.0,28.349999999999998,33.5,24.1
2024-08-04,0.0,28.8125,34.3,24.1
2024-08-05,0.0,28.858333333333334,34.6,23.9
2024-08-06,0.0,28.945833333333336,35.5,24.4
2024-08-07,0.0,29.525000000000002,36.0,24.3
2024-08-08,5.0,29.133333333333336,35.8,24.6
2024-08-09,0.0,28.291666666666668,35.4,24.9
2024-08-10,0.0,28.616666666666664,34.1,24.7
2024-08-11,8.6,28.40416666666667,34.8,25.2
2024-08-12,18.2,27.6875,33.2,23.9
2024-08-13,5.3999999999999995,27.6125,33.5,24.1
2024-08-14,3.4000000000000004,28.037499999999998,33.4,24.8
2024-08-15,0.0,28.066666666666666,33.1,23.6
2024-08-16,0.0,28.55,34.6,24.3
2024-08-17,0.0,28.520833333333332,33.5,24.2
2024-08-18,0.2,28.7,33.8,25.2
2024-08-19,10.2,28.104166666666668,34.4,22.3
2024-08-20,0.4,28.0,34.3,23.5
2024-08-21,0.0,28.833333333333332,34.4,24.6
2024-08-22,0.7999999999999999,28.099999999999998,33.7,24.6
2024-08-23,2.0,28.258333333333336,33.6,24.2
2024-08-24,0.0,28.395833333333332,34.2,23.3
2024-08-25,0.0,29.179166666666664,36.5,23.9
2024-08-26,0.0,29.254166666666666,34.8,25.3
2024-08-27,4.0,28.2,35.0,24.2
2024-08-28,0.0,28.191666666666666,34.0,24.4
2024-08-29,0.0,28.645833333333332,34.3,24.7
2024-08-30,0.0,29.150000000000002,35.1,23.9
2024-08-31,0.0,29.2625,35.2,24.8
2024-09-01,0.0,29.354166666666668,36.2,24.8
2024-09-02,0.0,29.258333333333336,34.6,25.5
2024-09-03,0.0,29.304166666666664,35.4,24.3
2024-09-04,0.0,29.516666666666666,35.1,24.9
2024-09-05,0.0,28.72083333333333,34.7,25.0
2024-09-06,0.2,28.962500000000002,36.0,24.2
2024-09-07,0.0,28.941666666666666,35.7,23.4
2024-09-08,1.0,29.233333333333334,35.9,23.9
2024-09-09,0.0,28.9875,34.9,24.5
2024-09-10,0.0,29.40833333333333,35.5,24.5
2024-09-11,7.2,28.883333333333336,35.7,24.6
2024-09-12,1.0,27.65833333333333,33.7,24.3
2024-09-13,0.0,29.05,36.1,24.6
2024-09-14,0.0,29.28333333333333,35.9,24.1
2024-09-15,0.0,29.229166666666668,35.4,24.1
2024-09-16,0.0,28.954166666666666,34.4,25.2
2024-09-17,0.0,29.133333333333336,35.5,24.6
2024-09-18,0.2,29.28333333333333,37.1,24.1
2024-09-19,0.8,28.691666666666666,34.8,24.6
2024-09-20,0.0,29.420833333333334,37.0,24.6
2024-09-21,0.0,28.84166666666667,34.6,24.1
2024-09-22,0.0,29.141666666666666,34.9,24.9
2024-09-23,0.0,29.079166666666666,35.2,24.7
2024-09-24,2.4,28.1125,33.0,25.0
2024-09-25,4.2,28.108333333333334,33.7,24.3
2024-09-26,0.2,28.75,35.2,23.9
2024-09-27,1.8,28.3,34.6,25.0
2024-09-28,0.0,28.908333333333335,35.5,24.7
2024-09-29,4.2,28.666666666666668,35.7,23.8
2024-09-30,30.400000000000002,27.570833333333336,33.1,23.9
2024-10-01,9.4,26.875,33.1,24.0
2024-10-02,0.4,28.22083333333333,34.2,24.3
2024-10-03,0.0,28.525000000000002,33.2,25.4
2024-10-04,0.0,28.704166666666666,35.1,23.9
2024-10-05,0.0,28.916666666666668,35.1,23.9
2024-10-06,0.0,29.083333333333332,34.2,25.4
2024-10-07,0.2,28.3,34.1,25.2
2024-10-08,0.0,28.90416666666667,34.0,24.7
2024-10-09,0.0,29.504166666666666,36.3,24.4
2024-10-10,0.0,28.787499999999998,34.0,24.0
2024-10-11,0.0,28.670833333333334,34.1,24.5
2024-10-12,0.8,29.066666666666666,34.9,24.8
2024-10-13,0.2,29.870833333333334,36.7,24.9
2024-10-14,12.0,28.854166666666668,36.2,25.0
2024-10-15,13.6,27.883333333333336,32.6,24.9
2024-10-16,0.0,28.162499999999998,34.0,23.5
2024-10-17,0.0,28.724999999999998,34.1,24.0
2024-10-18,0.0,28.895833333333332,34.4,23.9
2024-10-19,0.0,29.150000000000002,34.4,24.3
